Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
147,18349,B. Wilds,29,6,15,2.5,0,0,0,0,0,4,7.7,50,3,50,2,7.33,50,33.3,16.7
148,18114,D. Vitale,28.7,0,0,null,0,2,1,2,0,6.7,7.7,null,null,null,null,null,null,null,null
149,18073,J. Williams,28.4,3,0,0,0,1,1,1,0,7.8,4.1,0,null,100,0,7.33,33.3,33.3,33.3
150,15256,C. Michael,31.7,2,9,4.5,0,0,0,0,0,2.7,6.1,50,8,50,1,8.5,100,0,0
151,18451,R. Kelley,29.8,4,8,2,0,0,0,0,0,6.4,5.2,25,0,75,2.7,7.25,50,25,25
152,18464,J. McKissic,28.9,3,8,null,0,1,0,0,0,0,null,null,null,null,null,null,null,null,null
153,19065,J. McNichols,26.5,2,4,2,0,0,0,0,0,2.5,7.7,50,-3,50,7,7.5,50,50,0
154,14533,R. Turbin,32.6,4,10,2.5,0,2,1,3,0,13.7,10.3,75,3.7,25,-1,6.5,25,0,75
155,13063,T. Jones,33.9,0,0,null,0,2,0,0,0,1.8,2.2,null,null,null,null,null,null,null,null
156,16441,S. Perry,30.8,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
157,19078,M. Dayes,27.8,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
158,19626,D. Ogunbowale,28.2,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
159,20039,B. Scott,27.2,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
160,19085,D. Henderson,29.6,2,19,9.5,0,0,0,0,0,3.9,8,0,null,100,9.5,6.5,0,50,50
