,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
89,89,2,18082,T. Hill,87,1276,84.92,12.93,1746.0,116.4,20.1,19,13,382.0,23.39,2.44,2020,WR,Tyreek Hill,KC,15,135,64.4,15,75,9.5,14.7,13,123,9.5,2,1,0,16.1,241.9
90,90,3,16906,S. Diggs,127,1535,87.5,10.33,1716.0,107.25,13.5,15,10,507.0,29.07,1.98,2020,WR,Stefon Diggs,BUF,16,166,76.5,8,55,9.2,12.1,1,1,1.0,0,0,0,12.6,201.6
91,91,5,19802,C. Ridley,90,1374,79.21,14.42,2063.0,137.53,22.9,22,17,422.0,25.76,1.97,2020,WR,Calvin Ridley,ATL,15,143,62.9,9,63,9.6,15.3,5,1,0.2,0,1,1,12.8,191.5
92,92,7,20875,D. Metcalf,83,1303,92.26,13.82,1783.0,111.43,21.5,16,14,390.0,24.06,2.1,2020,WR,DK Metcalf,SEA,16,129,64.3,10,62,10.1,15.7,0,0,0.0,0,1,1,11.8,188.3
93,93,6,21685,J. Jefferson,88,1400,82.3,11.92,1490.0,93.12,16.9,12,8,380.0,26.48,2.19,2020,WR,Justin Jefferson,MIN,16,125,70.4,7,71,11.2,15.9,1,2,2.0,0,1,0,11.6,186.2
94,94,10,15534,A. Thielen,74,925,92.09,11.95,1291.0,86.06,17.4,20,20,332.0,25.17,2.35,2020,WR,Adam Thielen,MIN,15,108,68.5,14,51,8.6,12.5,3,15,5.0,0,0,0,12.0,180.0
95,95,11,16597,M. Evans,70,1006,79.37,12.14,1324.0,82.75,18.9,19,16,308.0,17.98,2.28,2020,WR,Mike Evans,TB,16,109,64.2,13,50,9.2,14.4,0,0,0.0,0,0,0,11.2,178.6
96,96,4,14986,D. Hopkins,115,1407,91.05,8.76,1403.0,87.68,12.2,18,10,484.0,29.41,1.8,2020,WR,DeAndre Hopkins,ARI,16,160,71.9,6,60,8.8,12.2,1,1,1.0,0,3,2,10.8,172.8
97,97,12,21042,A. Brown,70,1075,81.18,10.66,1130.0,80.71,16.1,12,5,300.0,25.85,2.33,2020,WR,A.J. Brown,TEN,14,106,66.0,11,73,10.1,15.4,0,0,0.0,0,2,1,12.2,171.5
98,98,8,16830,T. Lockett,100,1054,88.54,9.74,1286.0,80.37,12.9,16,14,416.0,24.62,2.01,2020,WR,Tyler Lockett,SEA,16,132,75.8,10,47,8.0,10.5,0,0,0.0,0,1,0,10.3,165.4
