,index,rank,playerplayerid,playershortname,playerageexact,rushingyards,yardspercarry,rushingtouchdowns,targets,receptions,receivingyards,snapshare,opportunityshare,shotguncarryrate,shotgunyardspercarry,undercentercarryrate,undercenteryardspercarry,averagedefendersinthebox,stackedfrontcarryrate,basefrontcarryrate,lightfrontcarryrate,year,position,name,team,played,rushingattempts,receivingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
65,65,81,16815,A. Abdullah,29.1,166,3.25,0,53,38,289,27.92,21.18,52.94,1.0,47.05,1.0,6.21,3.92,21.56,74.5,2021,RB,Ameer Abdullah,CAR,17,51,1,0,0,3.0,51.5
66,66,72,16847,D. Johnson,30.6,228,3.4,0,42,32,225,38.81,30.36,65.67,1.0,34.32,1.0,5.41,1.49,13.43,85.07,2021,RB,David Johnson,HOU,13,67,1,1,1,3.8,49.3
67,67,64,21634,D. Gore,27.6,256,5.01,2,9,8,105,14.63,20.13,54.9,1.0,45.09,1.0,6.13,3.92,25.49,70.58,2021,RB,Derrick Gore,KC,11,51,0,0,0,4.4,48.1
68,68,63,22556,J. Patterson,22.5,266,3.91,2,12,10,73,13.06,15.26,60.29,1.0,36.76,1.0,6.19,10.29,30.88,55.88,2021,RB,Jaret Patterson,WAS,17,68,0,1,0,2.7,45.9
69,69,83,19065,J. McNichols,26.5,156,3.8,0,38,28,240,25.27,16.49,41.46,1.0,60.97,1.0,6.46,14.63,24.39,63.41,2021,RB,Jeremy McNichols,TEN,14,41,1,0,0,3.3,45.6
70,70,82,16031,D. Williams,30.3,164,4.1,2,23,16,103,20.87,18.31,50.0,1.0,50.0,1.0,6.62,30.0,22.5,47.5,2021,RB,Damien Williams,CHI,12,40,1,0,0,3.7,44.7
71,71,60,20360,J. Wilson Jr.,26.6,294,3.72,2,8,7,31,38.64,36.09,20.25,1.0,79.74,1.0,6.68,21.51,39.24,37.97,2021,RB,Jeff Wilson Jr.,SF,9,79,0,1,0,4.9,44.5
72,72,70,19119,C. Carson,27.8,232,4.29,3,6,6,29,59.52,70.58,35.18,1.0,64.81,1.0,6.44,9.25,29.62,61.11,2021,RB,Chris Carson,SEA,4,54,0,1,1,10.5,42.1
73,73,67,20128,P. Lindsay,28.0,249,2.82,1,5,4,45,18.55,22.96,65.9,1.0,34.09,1.0,5.82,3.4,26.13,70.45,2021,RB,Phillip Lindsay,MIA,14,88,1,0,0,3.0,41.4
74,74,56,16834,T. Coleman,29.2,356,4.23,0,16,11,49,28.28,34.01,38.09,1.0,61.9,1.0,6.86,22.61,41.66,35.71,2021,RB,Tevin Coleman,NYJ,11,84,0,0,0,3.7,40.5
75,75,74,18375,P. Barber,28.4,212,3.85,2,13,10,67,17.73,23.85,21.81,1.0,76.36,1.0,6.34,16.36,30.9,50.9,2021,RB,Peyton Barber,LV,10,55,0,2,0,4.0,39.9
76,76,78,20810,T. Homer,23.9,177,8.42,1,20,16,161,20.88,11.88,61.9,1.0,38.09,1.0,5.61,0.0,23.8,71.42,2021,RB,Travis Homer,SEA,14,21,0,0,0,2.8,39.8
77,77,87,21804,D. Dallas,23.8,138,4.18,2,23,21,133,16.36,13.55,45.45,1.0,54.54,1.0,6.18,6.06,33.33,60.6,2021,RB,DeeJay Dallas,SEA,17,33,0,1,0,2.3,39.1
78,78,88,19626,D. Ogunbowale,28.2,137,3.18,1,21,13,114,18.23,16.41,39.53,1.0,60.46,1.0,6.06,6.97,23.25,69.76,2021,RB,Dare Ogunbowale,JAX,17,43,1,0,0,2.2,37.1
79,79,111,14916,G. Bernard,30.6,58,7.25,0,29,23,123,17.12,11.14,75.0,1.0,25.0,1.0,5.37,0.0,37.5,50.0,2021,RB,Giovani Bernard,TB,12,8,3,1,0,3.0,36.1
80,80,89,19319,M. Breida,27.4,125,4.8,1,9,7,72,12.43,17.32,57.69,1.0,42.3,1.0,6.03,3.84,23.07,73.07,2021,RB,Matt Breida,BUF,9,26,2,1,1,4.0,35.7
81,81,106,22647,C. Evans,24.8,77,4.52,0,17,15,151,11.34,8.5,11.76,1.0,88.23,1.0,6.7,17.64,41.17,41.17,2021,RB,Chris Evans,CIN,14,17,2,0,0,2.5,34.8
82,82,66,16668,C. Hyde,31.8,253,3.51,1,22,12,65,37.41,35.2,48.61,1.0,51.38,1.0,6.33,8.33,29.16,62.5,2021,RB,Carlos Hyde,JAX,12,72,0,2,2,2.8,33.8
83,83,96,14967,L. Bell,30.4,101,2.58,2,7,5,30,28.77,23.35,66.66,1.0,33.33,1.0,7.02,23.07,53.84,23.07,2021,RB,Le'Veon Bell,TB,8,39,1,0,0,4.1,33.1
84,84,76,22126,T. Williams,25.8,185,5.28,1,12,9,84,16.35,15.87,88.57,1.0,11.42,1.0,6.82,25.71,37.14,37.14,2021,RB,Ty'Son Williams,BAL,13,35,0,1,0,2.5,32.9
85,85,77,21788,K. Vaughn,25.2,180,5.0,2,8,4,26,13.08,12.75,22.22,1.0,77.77,1.0,6.91,16.66,61.11,22.22,2021,RB,Ke'Shawn Vaughn,TB,12,36,0,0,0,2.7,32.6
86,86,71,21564,C. Reynolds,26.1,230,4.18,0,8,7,52,38.36,42.85,20.0,1.0,80.0,1.0,6.72,16.36,47.27,36.36,2021,RB,Craig Reynolds,DET,5,55,0,0,0,5.6,28.2
87,87,99,18617,E. Penny,28.9,99,4.12,1,13,9,30,13.34,8.25,37.5,1.0,62.5,1.0,6.37,16.66,29.16,50.0,2021,RB,Elijhaa Penny,NYG,17,24,1,0,0,1.6,26.9
88,88,84,21843,S. Ahmed,23.5,149,2.75,0,19,12,117,19.4,23.7,66.66,1.0,33.33,1.0,5.75,1.85,25.92,72.22,2021,RB,Salvon Ahmed,MIA,12,54,0,0,0,2.2,26.6
89,89,108,21765,J. Hasty,25.8,68,4.25,1,29,23,157,22.46,17.44,37.5,1.0,62.5,1.0,6.62,18.75,31.25,50.0,2021,RB,JaMycal Hasty,SF,11,16,0,2,1,2.4,26.5
90,90,80,21801,T. Sermon,23.4,167,4.07,1,4,3,26,18.23,19.39,53.65,1.0,46.34,1.0,6.92,26.82,41.46,31.7,2021,RB,Trey Sermon,SF,9,41,0,0,0,2.8,25.3
91,91,79,19823,R. Freeman,26.4,169,3.01,0,16,10,77,20.2,15.96,19.64,1.0,80.35,1.0,6.42,17.85,19.64,62.5,2021,RB,Royce Freeman,HOU,15,56,0,0,0,1.6,24.6
92,92,86,19548,C. Clement,27.7,140,4.24,0,7,6,29,5.39,7.64,12.12,1.0,87.87,1.0,6.9,36.36,36.36,24.24,2021,RB,Corey Clement,DAL,17,33,1,0,0,1.3,22.9
93,93,109,16510,J. McKinnon,30.2,62,5.16,0,20,13,107,18.03,9.9,58.33,1.0,41.66,1.0,6.16,8.33,16.66,75.0,2021,RB,Jerick McKinnon,KC,13,12,1,0,0,1.8,22.9
94,94,100,4807,A. Peterson,37.3,98,2.57,2,4,4,8,27.13,34.71,13.15,1.0,86.84,1.0,6.26,15.78,31.57,50.0,2021,RB,Adrian Peterson,SEA,4,38,0,1,0,5.6,22.6
